reactions,metabolites,metabolitestotal,gpr,genes
1PY4h3cAH,1py4h3c_c,1py4h3c,protein_3453,protein_3453
24DECOAR,dec4_2_coa_c,dec4_2,protein_6002,protein_6002
2AACLPGT161,2agpg161_c,2agpg161,protein_6902,protein_6902
2AACLPGT161,hdeACP_c,hdeACP,protein_6902,protein_6902
2AACLPPEAT161,2agpe161_c,2agpe161,protein_6902,protein_6902
2AACLPPEAT161,hdeACP_c,hdeACP,protein_6902,protein_6902
2AGPEAT120_num1,2agpe120_c,2agpe120,protein_1362,protein_1362
2AGPEAT120_num1,ddca_c,ddca,protein_1362,protein_1362
2AGPEAT140_num1,2agpe140_c,2agpe140,protein_1362,protein_1362
2AGPEAT140_num1,ttdca_c,ttdca,protein_1362,protein_1362
2AGPEAT141_num1,2agpe141_c,2agpe141,protein_1362,protein_1362
2AGPEAT141_num1,ttdcea_c,ttdcea,protein_1362,protein_1362
2AGPEAT160_num1,2agpe160_c,2agpe160,protein_1362,protein_1362
2AGPEAT160_num1,hdca_c,hdca,protein_1362,protein_1362
2AGPEAT161_num1,2agpe161_c,2agpe161,protein_1362,protein_1362
2AGPEAT161_num1,hdcea_c,hdcea,protein_1362,protein_1362
2AGPEAT180_num1,2agpe180_c,2agpe180,protein_1362,protein_1362
2AGPEAT180_num1,ocdca_c,ocdca,protein_1362,protein_1362
2AGPEAT181_num1,2agpe181_c,2agpe181,protein_1362,protein_1362
2AGPEAT181_num1,ocdcea_c,ocdcea,protein_1362,protein_1362
2AGPGAT120_num1,2agpg120_c,2agpg120,protein_1362,protein_1362
2AGPGAT120_num1,ddca_c,ddca,protein_1362,protein_1362
2AGPGAT141_num1,2agpg141_c,2agpg141,protein_1362,protein_1362
2AGPGAT141_num1,ttdcea_c,ttdcea,protein_1362,protein_1362
2AGPGAT160_num1,2agpg160_c,2agpg160,protein_1362,protein_1362
2AGPGAT160_num1,hdca_c,hdca,protein_1362,protein_1362
2AGPGAT161_num1,2agpg161_c,2agpg161,protein_1362,protein_1362
2AGPGAT161_num1,hdcea_c,hdcea,protein_1362,protein_1362
2AGPGAT180_num1,2agpg180_c,2agpg180,protein_1362,protein_1362
2AGPGAT180_num1,ocdca_c,ocdca,protein_1362,protein_1362
2AGPGAT181_num1,2agpg181_c,2agpg181,protein_1362,protein_1362
2AGPGAT181_num1,ocdcea_c,ocdcea,protein_1362,protein_1362
2DGLCNRx,2dhglcn_c,2dhglcn,protein_6311,protein_6311
2DGLCNRy,2dhglcn_c,2dhglcn,protein_6311,protein_6311
2DGULRGx,2dhguln_c,2dhguln,protein_6311,protein_6311
2DGULRGy,2dhguln_c,2dhguln,protein_6311,protein_6311
2DGULRx,2dhguln_c,2dhguln,protein_6311,protein_6311
2DGULRy,2dhguln_c,2dhguln,protein_6311,protein_6311
2DHGLCK,2dhglcn_c,2dhglcn,protein_6778,protein_6778
2DHGLCNkt_tpp,2dhglcn_p,2dhglcn,protein_8079,protein_8079
2S6HCCi,akg_c,akg,protein_7700,protein_7700
2S6HCCi,ichor_c,ichor,protein_7700,protein_7700
34HPPOR,34hpp_c,34hpp,protein_948,protein_948
3A2OA,akg_c,akg,protein_2160,protein_2160
3A2OA,ala_B_c,ala_B,protein_2160,protein_2160
3AIBT2,ala__L_c,ala__L,protein_5706,protein_5706
3AIBT2,mmtsa_c,mmtsa,protein_5706,protein_5706
3HBCOAHL_num1,3hibutcoa_c,3hibutcoa,protein_1551,protein_1551
3HLYTCL,34dhphe_c,34dhphe,protein_6745,protein_6745
3HOXPACt2pp_num1,3hoxpac_p,3hoxpac,protein_3488,protein_3488
3HPTNCOAR,3hptcoa_c,3hptcoa,protein_7086,protein_7086
3M2OPLOXRD,3mop_c,3mop,protein_4939 and protein_4940,protein_4939
3M2OPLOXRD,3mop_c,3mop,protein_4939 and protein_4940,protein_4940
3M2OPLOXRD,lpam_c,lpam,protein_4939 and protein_4940,protein_4939
3M2OPLOXRD,lpam_c,lpam,protein_4939 and protein_4940,protein_4940
3MBt2pp,3mb_p,3mb,protein_92,protein_92
3MBt4pp,3mb_p,3mb,protein_92,protein_92
3NUCLE1,3amp_c,3amp,protein_294,protein_294
3NUCLE2,3ump_c,3ump,protein_294,protein_294
3NUCLE3,3cmp_c,3cmp,protein_294,protein_294
3NUCLE4,3gmp_c,3gmp,protein_294,protein_294
3OADPCOAT,3oxoadp_c,3oxoadp,protein_3352 and protein_3353,protein_3353
3OADPCOAT,3oxoadp_c,3oxoadp,protein_3352 and protein_3353,protein_3352
3OADPCOAT,succoa_c,succoa,protein_3352 and protein_3353,protein_3353
3OADPCOAT,succoa_c,succoa,protein_3352 and protein_3353,protein_3352
3OXCOAT_num1,oxadpcoa_c,oxadpcoa,protein_4851,protein_4851
3OXOADPt_pp,3oxoadp_p,3oxoadp,protein_1272,protein_1272
3PEPTabcpp_num1,LalaDgluMdap_p,LalaDgluMdap,protein_2993,protein_2993
3SALATAi,3sala_c,3sala,protein_7657,protein_7657
3SALATAi,akg_c,akg,protein_7657,protein_7657
3_4DHBZ1t_pp,34dhbz_p,34dhbz,protein_5299,protein_5299
42A12BOOXpp,dopa_p,dopa,protein_2250,protein_2250
4ABUTD_num1,4abutn_c,4abutn,protein_2164,protein_2164
4ABUTabcpp,4abut_p,4abut,protein_3085 and protein_3086,protein_3085
4ABUTabcpp,4abut_p,4abut,protein_3085 and protein_3086,protein_3086
4CMLCL_kt,4cml_c,4cml,protein_4564,protein_4564
4HALDD,4hoxpacd_c,4hoxpacd,protein_3469,protein_3469
4HBHYOX,4hbz_c,4hbz,protein_4463,protein_4463
4HDPROO,4hpro_DC_c,4hpro_DC,protein_2453,protein_2453
4HDPROO,ficytc_c,ficytc,protein_2453,protein_2453
4HOXPACt2pp_num1,4hphac_p,4hphac,protein_3488,protein_3488
4HPRODCabcpp,4hpro_DC_p,4hpro_DC,protein_5047,protein_5047
4HPROLTabcpp,4hpro_LT_p,4hpro_LT,protein_5047,protein_5047
4HPTNCOAL,4hptn_c,4hptn,protein_3182,protein_3182
4HPTNtpp,4hptn_p,4hptn,protein_92,protein_92
4HTHRS,phthr_c,phthr,protein_7049,protein_7049
4HTHRS_1,phthr_c,phthr,protein_7049,protein_7049
4OXPTCOADHx,4oxptcoa_c,4oxptcoa,protein_4499,protein_4499
4OXPTCOADHy,4oxptcoa_c,4oxptcoa,protein_4499,protein_4499
4OXPTNtpp,4oxptn_p,4oxptn,protein_92,protein_92
4PCP,LalaDgluMdapDala_c,LalaDgluMdapDala,protein_6145,protein_6145
4PEPTabcpp_num1,LalaDgluMdapDala_p,LalaDgluMdapDala,protein_2993,protein_2993
4POPCOAM3,2ptcoa_c,2ptcoa,protein_4497,protein_4497
5APTNabcpp,5aptn_p,5aptn,protein_2630 and protein_2634,protein_2634
5APTNabcpp,5aptn_p,5aptn,protein_2630 and protein_2634,protein_2630
5DGLCNR_num1,5dglcn_c,5dglcn,protein_3267,protein_3267
5DGLCNt2rpp,5dglcn_p,5dglcn,protein_5279,protein_5279
5DH4DGLCD,5dh4dglc_c,5dh4dglc,protein_3030,protein_3030
5DKGR_num1,glcn_c,glcn,protein_3267,protein_3267
6HNACMO,6hnac_c,6hnac,protein_5466,protein_5466
6HNACt1pp,6hnac_p,6hnac,protein_2920,protein_2920
6PHBG,salcn6p_c,salcn6p,protein_5105,protein_5105
6PHBG2,salcn6p_c,salcn6p,protein_5105,protein_5105
AAAN,acald_c,acald,protein_1796 and protein_3667 and protein_6514,protein_3667
AAAN,acald_c,acald,protein_1796 and protein_3667 and protein_6514,protein_1796
AAAN,acald_c,acald,protein_1796 and protein_3667 and protein_6514,protein_6514
AAAN,accoa_c,accoa,protein_1796 and protein_3667 and protein_6514,protein_3667
AAAN,accoa_c,accoa,protein_1796 and protein_3667 and protein_6514,protein_1796
AAAN,accoa_c,accoa,protein_1796 and protein_3667 and protein_6514,protein_6514
AACLAM,acadl_c,acadl,protein_4766,protein_4766
AACOAR_syn,aacoa_c,aacoa,protein_4184,protein_4184
AACOAT_num1,acac_c,acac,protein_195,protein_195
AACPS2_num1,ACP_c,ACP,protein_1362,protein_1362
AACPS2_num1,ttdcea_c,ttdcea,protein_1362,protein_1362
AACPS4_num1,ACP_c,ACP,protein_1362,protein_1362
AACPS4_num1,hdcea_c,hdcea,protein_1362,protein_1362
AACPS7_num1,ACP_c,ACP,protein_1362,protein_1362
AACPS7_num1,ddca_c,ddca,protein_1362,protein_1362
AACPS9_num1,ACP_c,ACP,protein_1362,protein_1362
AACPS9_num1,octa_c,octa,protein_1362,protein_1362
AACTOOR_num1,aact_c,aact,protein_2250,protein_2250
AADSACYCL,thp2c_c,thp2c,spontaneous,spontaneous
AADa_num1,aad_c,aad,protein_5000,protein_5000
AADb_num1,ac_c,ac,protein_5000,protein_5000
AALDH,pacald_c,pacald,protein_6183,protein_6183
AASAD3_num1,L2aadp6sa_c,L2aadp6sa,protein_4749,protein_4749
AATA_num1,2oxoadp_c,2oxoadp,protein_3431,protein_3431
AATA_num1,glu__L_c,glu__L,protein_3431,protein_3431
AB6PGH,arbt6p_c,arbt6p,protein_5105,protein_5105
AB6PGH_1,arbt6p_c,arbt6p,protein_5105,protein_5105
ABTA_num1,4abut_c,4abut,protein_2160,protein_2160
ABTA_num1,akg_c,akg,protein_2160,protein_2160
ABTDG,abt__D_c,abt__D,protein_5412,protein_5412
ABTpp2,abt__D_e,abt__D,protein_2434,protein_2434
ABUTD_num1,4abutn_c,4abutn,protein_2164,protein_2164
ABUTt2pp,4abut_p,4abut,protein_2176,protein_2176
ABUTt2r,4abut_e,4abut,protein_2176,protein_2176
ACACCT_num1,acac_c,acac,protein_2259,protein_2259
ACACCT_num1,accoa_c,accoa,protein_2259,protein_2259
ACACT10_num1,3oddcoa_c,3oddcoa,protein_3374,protein_3374
ACACT11_num1,3ohcoa_c,3ohcoa,protein_3374,protein_3374
ACACT12_num1,3ohdcoa_c,3ohdcoa,protein_3374,protein_3374
ACACT13_num1,3odcoa_c,3odcoa,protein_3374,protein_3374
ACACT2r_num1,accoa_c,accoa,protein_2159,protein_2159
ACACT2r_num1,btcoa_c,btcoa,protein_2159,protein_2159
ACACT3r_num1,accoa_c,accoa,protein_2159,protein_2159
ACACT3r_num1,hxcoa_c,hxcoa,protein_2159,protein_2159
ACACT4r_num1,accoa_c,accoa,protein_2159,protein_2159
ACACT4r_num1,occoa_c,occoa,protein_2159,protein_2159
ACACT5r_num1,accoa_c,accoa,protein_1260,protein_1260
ACACT5r_num1,dcacoa_c,dcacoa,protein_1260,protein_1260
ACACT5r_1,accoa_c,accoa,protein_941,protein_941
ACACT5r_1,dccoa_c,dccoa,protein_941,protein_941
ACACT6r_num1,accoa_c,accoa,protein_2159,protein_2159
ACACT6r_num1,ddcacoa_c,ddcacoa,protein_2159,protein_2159
ACACT6r_1,accoa_c,accoa,protein_941,protein_941
ACACT6r_1,ddcoa_c,ddcoa,protein_941,protein_941
ACACT7r_num1,accoa_c,accoa,protein_2159,protein_2159
ACACT7r_num1,tdcoa_c,tdcoa,protein_2159,protein_2159
ACACT8_num1,3oocoa_c,3oocoa,protein_3374,protein_3374
ACACT8r_num1,3ohodcoa_c,3ohodcoa,protein_2159,protein_2159
ACACT9_num1,3otdcoa_c,3otdcoa,protein_3374,protein_3374
ACALD,acald_c,acald,protein_3119,protein_3119
ACCOAC_num1,accoa_c,accoa,protein_2531,protein_2531
ACCOAC_num1,hco3_c,hco3,protein_2531,protein_2531
ACCOAL_num1,ppa_c,ppa,protein_4473,protein_4473
ACGApts_num1,acgam_e,acgam,protein_8188,protein_8188
ACGApts_num1,pep_c,pep,protein_8188,protein_8188
ACGAptspp_num1,acgam_p,acgam,protein_6303,protein_6303
ACGAptspp_num1,pep_c,pep,protein_6303,protein_6303
ACGK,acglu_c,acglu,protein_2396,protein_2396
ACGS_num1,accoa_c,accoa,protein_2395,protein_2395
ACGS_num1,glu__L_c,glu__L,protein_2395,protein_2395
ACHBS_num1,2obut_c,2obut,protein_1290,protein_1290
ACHBS_num1,pyr_c,pyr,protein_1290,protein_1290
ACHBS2,2hetdp_c,2hetdp,protein_6923 and protein_6924,protein_6924
ACHBS2,2hetdp_c,2hetdp,protein_6923 and protein_6924,protein_6923
ACHBS2,2obut_c,2obut,protein_6923 and protein_6924,protein_6924
ACHBS2,2obut_c,2obut,protein_6923 and protein_6924,protein_6923
ACKr,ac_c,ac,protein_2037,protein_2037
ACLS_num1,pyr_c,pyr,protein_1290,protein_1290
ACLS_a,pyr_c,pyr,protein_3668 and protein_5135,protein_3668
ACLS_a,pyr_c,pyr,protein_3668 and protein_5135,protein_5135
ACLS_a,thmpp_c,thmpp,protein_3668 and protein_5135,protein_3668
ACLS_a,thmpp_c,thmpp,protein_3668 and protein_5135,protein_5135
ACLS_b,alac__S_c,alac__S,protein_6924,protein_6924
ACLS_b,thmpp_c,thmpp,protein_6924,protein_6924
ACLS_d_num1,hethmpp_c,hethmpp,protein_1681,protein_1681
ACLS_d_num1,lpam_c,lpam,protein_1681,protein_1681
ACLSa_1,pyr_c,pyr,protein_6923 and protein_6924,protein_6924
ACLSa_1,pyr_c,pyr,protein_6923 and protein_6924,protein_6923
ACLSa_1,thmpp_c,thmpp,protein_6923 and protein_6924,protein_6924
ACLSa_1,thmpp_c,thmpp,protein_6923 and protein_6924,protein_6923
ACLSb_num1,2ahethmpp_c,2ahethmpp,protein_1681,protein_1681
ACLSb_num1,pyr_c,pyr,protein_1681,protein_1681
ACLSb_1,2hetdp_c,2hetdp,protein_6923 and protein_6924,protein_6924
ACLSb_1,2hetdp_c,2hetdp,protein_6923 and protein_6924,protein_6923
ACLSb_1,pyr_c,pyr,protein_6923 and protein_6924,protein_6924
ACLSb_1,pyr_c,pyr,protein_6923 and protein_6924,protein_6923
ACM6PH,acmum6p_c,acmum6p,protein_345,protein_345
ACMANApts_num1,acmana_e,acmana,protein_6303,protein_6303
ACMANApts_num1,pep_c,pep,protein_6303,protein_6303
ACMANAptspp,acmana_p,acmana,protein_8188,protein_8188
ACMANAptspp,pep_c,pep,protein_8188,protein_8188
ACNAMt2,acnam_e,acnam,protein_8122,protein_8122
ACNAMt2pp_num1,acnam_p,acnam,protein_2843,protein_2843
ACOAD1_num1,b2coa_c,b2coa,protein_2949,protein_2949
ACOAD10f,hptcoa_c,hptcoa,protein_3391,protein_3391
ACOAD11f,nonacoa_c,nonacoa,protein_3391,protein_3391
ACOAD12f_num1,pdcacoa_c,pdcacoa,protein_3391,protein_3391
ACOAD13f_num1,pnonacoa_c,pnonacoa,protein_3391,protein_3391
ACOAD14f_num1,poctacoa_c,poctacoa,protein_3391,protein_3391
ACOAD15f_num1,phpcoa_c,phpcoa,protein_3391,protein_3391
ACOAD16f_num1,phxacoa_c,phxacoa,protein_3391,protein_3391
ACOAD17f_num1,pptcoa_c,pptcoa,protein_3391,protein_3391
ACOAD18f_num1,pbcoa_c,pbcoa,protein_3391,protein_3391
ACOAD19f_num1,phppcoa_c,phppcoa,protein_3391,protein_3391
ACOAD1f_num1,btcoa_c,btcoa,protein_2343,protein_2343
ACOAD1fr_num1,b2coa_c,b2coa,protein_2222,protein_2222
ACOAD2_num1,hx2coa_c,hx2coa,protein_4354,protein_4354
ACOAD20_num1,2mbcoa_c,2mbcoa,protein_2949,protein_2949
ACOAD20f,6athcoa_c,6athcoa,protein_3391,protein_3391
ACOAD21f,4atbcoa_c,4atbcoa,protein_3391,protein_3391
ACOAD22f,vacccoa_c,vacccoa,protein_3391,protein_3391
ACOAD23f,hdcoa_c,hdcoa,protein_3391,protein_3391
ACOAD24f,tdecoa_c,tdecoa,protein_3391,protein_3391
ACOAD25f,ddecoa_c,ddecoa,protein_3391,protein_3391
ACOAD26f,odecoa_c,odecoa,protein_3391,protein_3391
ACOAD27f,hdd7coa_c,hdd7coa,protein_3391,protein_3391
ACOAD28f,tded5coa_c,tded5coa,protein_3391,protein_3391
ACOAD29f,ptslacoa_c,ptslacoa,protein_3391,protein_3391
ACOAD2f_num1,hxcoa_c,hxcoa,protein_2168,protein_2168
ACOAD3_num1,occoa_c,occoa,protein_4354,protein_4354
ACOAD30f,hdd4coa_c,hdd4coa,protein_3391,protein_3391
ACOAD31f,lnlccoa_c,lnlccoa,protein_3391,protein_3391
ACOAD32f,hd_7_10_coa_c,hd_7_10,protein_3391,protein_3391
ACOAD33f,td_5_8_coa_c,td_5_8,protein_3391,protein_3391
ACOAD34f,dec4coa_c,dec4coa,protein_3391,protein_3391
ACOAD3f_num1,occoa_c,occoa,protein_2168,protein_2168
ACOAD4_1_num1,dccoa_c,dccoa,protein_4354,protein_4354
ACOAD4f_num1,dcacoa_c,dcacoa,protein_2168,protein_2168
ACOAD5_1_num1,ddcoa_c,ddcoa,protein_4354,protein_4354
ACOAD5f_num1,ddcacoa_c,ddcacoa,protein_2168,protein_2168
ACOAD6_num1,tdcoa_c,tdcoa,protein_4354,protein_4354
ACOAD6f_num1,tdcoa_c,tdcoa,protein_2168,protein_2168
ACOAD7_num1,pmtcoa_c,pmtcoa,protein_4354,protein_4354
ACOAD7f_num1,pmtcoa_c,pmtcoa,protein_2343,protein_2343
ACOAD8f_num1,stcoa_c,stcoa,protein_2343,protein_2343
ACOADH1_num1,2mbcoa_c,2mbcoa,protein_7105,protein_7105
ACOADH2_num1,ibcoa_c,ibcoa,protein_2949,protein_2949
ACOAM,ac_c,ac,protein_4766,protein_4766
ACODA_num1,acorn_c,acorn,protein_1047,protein_1047
ACONCt4pp,acon_C_p,acon_C,protein_4876,protein_4876
ACONTb_num1,acon_C_c,acon_C,protein_4162,protein_4162
ACOTA_num1,acorn_c,acorn,protein_2000,protein_2000
ACOTA_num1,akg_c,akg,protein_2000,protein_2000
ACOXT,accoa_c,accoa,protein_3494,protein_3494
ACOXT,oxa_c,oxa,protein_3494,protein_3494
ACP1_FMN,fmn_c,fmn,protein_132,protein_132
ACPPAT120,ddcaACP_c,ddcaACP,protein_1672,protein_1672
ACPPAT141,tdeACP_c,tdeACP,protein_1672,protein_1672
ACPPAT161,hdeACP_c,hdeACP,protein_1672,protein_1672
ACS_num1,ac_c,ac,protein_195,protein_195
ACS2_num1,ppa_c,ppa,protein_195,protein_195
ACSERHS,acser_c,acser,protein_943,protein_943
ACSERHS,trdrd_c,trdrd,protein_943,protein_943
ACSERHS,tsul_c,tsul,protein_943,protein_943
ACSERL_num1,acser_c,acser,protein_1276,protein_1276
ACSERL_num1,seln_c,seln,protein_1276,protein_1276
ACSPHAC100_num1,R_3hdcaa_c,R_3hdcaa,protein_4008,protein_4008
ACSPHAC101_num1,R3hdec4e_c,R3hdec4e,protein_4008,protein_4008
ACSPHAC120_num1,R_3hdda_c,R_3hdda,protein_4008,protein_4008
ACSPHAC121_num1,R_3hdd5ea_c,R_3hdd5ea,protein_4008,protein_4008
ACSPHAC121d6_num1,R_3hdd6e_c,R_3hdd6e,protein_4008,protein_4008
ACSPHAC140_num1,R_3httdca_c,R_3httdca,protein_4008,protein_4008
ACSPHAC141_num1,R_3hcmrs7e_c,R_3hcmrs7e,protein_4008,protein_4008
ACSPHAC141d5_num1,R_3htd5e_c,R_3htd5e,protein_4008,protein_4008
ACSPHAC142_num1,R_3htd58e_c,R_3htd58e,protein_4008,protein_4008
ACSPHAC160_num1,R_3hhdca_c,R_3hhdca,protein_4008,protein_4008
ACSPHAC40_num1,bhb_c,bhb,protein_4008,protein_4008
ACSPHAC50_num1,R_3hpt_c,R_3hpt,protein_4008,protein_4008
ACSPHAC60_num1,R_3hhxa_c,R_3hhxa,protein_4008,protein_4008
ACSPHAC70_num1,R_3hhpa_c,R_3hhpa,protein_4008,protein_4008
ACSPHAC80_num1,R_3hocta_c,R_3hocta,protein_4008,protein_4008
ACSPHAC90_num1,R_3hnonaa_c,R_3hnonaa,protein_4008,protein_4008
ACSPHACP100,R_3hpdeca_c,R_3hpdeca,protein_4008,protein_4008
ACSPHACP40,R_3hpba_c,R_3hpba,protein_4008,protein_4008
ACSPHACP50,R_3hppta_c,R_3hppta,protein_4008,protein_4008
ACSPHACP60,R_3hphxa_c,R_3hphxa,protein_4008,protein_4008
ACSPHACP70,R_3hphpa_c,R_3hphpa,protein_4008,protein_4008
ACSPHACP80,R_3hpocta_c,R_3hpocta,protein_4008,protein_4008
ACSPHACP90,R_3hpnona_c,R_3hpnona,protein_4008,protein_4008
ACSPHACT40,R_3h4atba_c,R_3h4atba,protein_4008,protein_4008
ACSPHACT60,R_3h6atha_c,R_3h6atha,protein_4008,protein_4008
ACS_1,ac_c,ac,protein_342,protein_342
ACTD_num1,actn__R_c,actn__R,protein_4638,protein_4638
ACTD2_num1,actn__R_c,actn__R,protein_1911,protein_1911
ACTD_1,diact_c,diact,protein_4184,protein_4184
ACTDa_num1,actn__R_c,actn__R,protein_4638,protein_4638
ACTNabc_num1,actn__R_e,actn__R,protein_8085,protein_8085
ACTNabc1,actn__R_c,actn__R,protein_621 and protein_7649,protein_7649
ACTNabc1,actn__R_c,actn__R,protein_621 and protein_7649,protein_621
ACYP_2_num1,actp_c,actp,protein_2650,protein_2650
ACYP_3,actp_c,actp,protein_6845,protein_6845
ACt2rpp,ac_p,ac,protein_92,protein_92
ACt4pp,ac_p,ac,protein_92,protein_92
ACt5pp,ac_p,ac,protein_4423,protein_4423
ADA_num1,adn_c,adn,protein_231,protein_231
ADAPAT,glu__L_c,glu__L,protein_2397,protein_2397
ADAPAT,nal2a6o_c,nal2a6o,protein_2397,protein_2397
ADCPS1_num1,adcobhex_c,adcobhex,protein_1748,protein_1748
ADCPS1_num1,appl_c,appl,protein_1748,protein_1748
ADCPS2_num1,adcobhex_c,adcobhex,protein_1748,protein_1748
ADCPS2_num1,applp_c,applp,protein_1748,protein_1748
ADCS_num1,chor_c,chor,protein_3043,protein_3043
ADCS_num1,gln__L_c,gln__L,protein_3043,protein_3043
ADEt2rpp_num1,ade_p,ade,protein_1323,protein_1323
ADMDC_num1,amet_c,amet,protein_1100,protein_1100
ADNK1_num1,adn_c,adn,protein_1812,protein_1812
ADNK3,adn_c,adn,protein_1812,protein_1812
ADNK4,adn_c,adn,protein_1812,protein_1812
ADNUC_num1,adn_c,adn,protein_344,protein_344
ADOCBIAH,adocbi_c,adocbi,protein_1752,protein_1752
ADOCBIK,adocbi_c,adocbi,protein_1806,protein_1806
ADPDA,26dapime_c,26dapime,protein_1310,protein_1310
ADPDS,al26da_c,al26da,protein_2062,protein_2062
ADPGLC_num1,adpglc_c,adpglc,protein_1140,protein_1140
ADPRDP_num1,adprib_c,adprib,protein_1546,protein_1546
ADPT_num1,ade_c,ade,protein_401,protein_401
ADPT_num1,prpp_c,prpp,protein_401,protein_401
ADSELK,adsel_c,adsel,protein_1562 and protein_1563,protein_1563
ADSELK,adsel_c,adsel,protein_1562 and protein_1563,protein_1562
ADSELR_num1,3padsel_c,3padsel,protein_6971,protein_6971
ADSELR_num1,trdrd_c,trdrd,protein_6971,protein_6971
ADSK_num1,aps_c,aps,protein_1562,protein_1562
ADSS,asp__L_c,asp__L,protein_7972,protein_7972
AEPabcpp_num1,2ameph_p,2ameph,protein_545,protein_545
AGDC,acgam6p_c,acgam6p,protein_7982,protein_7982
AGM3PH,anhgm3p_c,anhgm3p,protein_350,protein_350
AGM4PCP,anhgm4p_c,anhgm4p,protein_6145,protein_6145
AGM4PH,anhgm4p_c,anhgm4p,protein_350,protein_350
AGMH,anhgm_c,anhgm,protein_350,protein_350
AGMPTRCtpp_num1,agm_p,agm,protein_5119,protein_5119
AGMPTRCtpp_num1,ptrc_c,ptrc,protein_5119,protein_5119
AGMT,agm_c,agm,protein_5722,protein_5722
AGPAT120_num1,1ddecg3p_c,1ddecg3p,protein_1844,protein_1844
AGPAT120_num1,ddcaACP_c,ddcaACP,protein_1844,protein_1844
AGPAT161_num1,1hdec9eg3p_c,1hdec9eg3p,protein_1844,protein_1844
AGPAT161_num1,hdeACP_c,hdeACP,protein_1844,protein_1844
AGPOP,pep_c,pep,protein_6553,protein_6553
AGPR_num1,acg5sa_c,acg5sa,protein_2393,protein_2393
AHCYSNS,ahcys_c,ahcys,protein_1593,protein_1593
AHCi_num1,ahcys_c,ahcys,protein_4003,protein_4003
AHGDx_num1,S2hglut_c,S2hglut,protein_3123,protein_3123
AHMMPS,air_c,air,protein_508,protein_508
AHMMPS2,air_c,air,protein_508,protein_508
AHMMPS2,amet_c,amet,protein_508,protein_508
AHMMPS_1,air_c,air,protein_508,protein_508
AHSERL,achms_c,achms,protein_1276,protein_1276
AHSERL,ch4s_c,ch4s,protein_1276,protein_1276
AHSERL2_num1,achms_c,achms,protein_389,protein_389
AHSERL2_1,achms_c,achms,protein_389,protein_389
AHSERL4_num1,acser_c,acser,protein_1276,protein_1276
AHSERL4_num1,trdrd_c,trdrd,protein_1276,protein_1276
AHSERL4_num1,tsul_c,tsul,protein_1276,protein_1276
AI2abcpp,mththf_p,mththf,protein_5701 and protein_6981,protein_6981
AI2abcpp,mththf_p,mththf,protein_5701 and protein_6981,protein_5701
AICART,10fthf_c,10fthf,protein_7476,protein_7476
AICART,aicar_c,aicar,protein_7476,protein_7476
AIRC1,air_c,air,protein_7261 and protein_7262,protein_7261
AIRC1,air_c,air,protein_7261 and protein_7262,protein_7262
AIRC2_num1,air_c,air,protein_7261,protein_7261
AIRC2_num1,hco3_c,hco3,protein_7261,protein_7261
AIRC4,air_c,air,protein_7261 and protein_7262,protein_7261
AIRC4,air_c,air,protein_7261 and protein_7262,protein_7262
AIRC4,hco3_c,hco3,protein_7261 and protein_7262,protein_7261
AIRC4,hco3_c,hco3,protein_7261 and protein_7262,protein_7262
AIRCr_num1,air_c,air,protein_7261,protein_7261
AIRCra,air_c,air,protein_7262,protein_7262
AIRSK,airs_c,airs,protein_6778,protein_6778
AKGDH_num1,akg_c,akg,protein_1795 and protein_7164,protein_1795
AKGDH_num1,akg_c,akg,protein_1795 and protein_7164,protein_7164
AKGDa,akg_c,akg,protein_7164,protein_7164
AKGDa,lpam_c,lpam,protein_7164,protein_7164
AKGDb,sdhlam_c,sdhlam,protein_1795,protein_1795
AKGt2r_num1,akg_e,akg,protein_1272,protein_1272
AKGt2rpp,akg_p,akg,protein_1272,protein_1272
ALAALAD_num1,alaala_c,alaala,protein_6894,protein_6894
ALAALAabcpp_num1,alaala_p,alaala,protein_2152 and protein_259 and protein_2990 and protein_5567,protein_2990
ALAALAabcpp_num1,alaala_p,alaala,protein_2152 and protein_259 and protein_2990 and protein_5567,protein_259
ALAALAabcpp_num1,alaala_p,alaala,protein_2152 and protein_259 and protein_2990 and protein_5567,protein_2152
ALAALAabcpp_num1,alaala_p,alaala,protein_2152 and protein_259 and protein_2990 and protein_5567,protein_5567
ALAALAr_num1,ala__D_c,ala__D,protein_6894,protein_6894
ALAD_L_num1,ala__L_c,ala__L,protein_6626,protein_6626
ALAD_L2,nh3_c,nh3,protein_7159,protein_7159
ALAD_L2,pyr_c,pyr,protein_7159,protein_7159
ALAGLNtr,ala_gln_e,ala_gln,protein_4611,protein_4611
ALAGLUabcpp,LalaLglu_p,LalaLglu,protein_256 and protein_257 and protein_5567 and protein_827 and protein_828,protein_257
ALAGLUabcpp,LalaLglu_p,LalaLglu,protein_256 and protein_257 and protein_5567 and protein_827 and protein_828,protein_256
ALAGLUabcpp,LalaLglu_p,LalaLglu,protein_256 and protein_257 and protein_5567 and protein_827 and protein_828,protein_828
ALAGLUabcpp,LalaLglu_p,LalaLglu,protein_256 and protein_257 and protein_5567 and protein_827 and protein_828,protein_827
ALAGLUabcpp,LalaLglu_p,LalaLglu,protein_256 and protein_257 and protein_5567 and protein_827 and protein_828,protein_5567
ALAGLYtr,alagly_e,alagly,protein_4611,protein_4611
